"Date","Price","Open","High","Low","Change %"
"02/23/2022","107.03","107.03","107.03","107.03","0.42%"
"02/22/2022","106.59","106.59","106.59","106.59","0.15%"
"02/18/2022","106.43","106.43","106.43","106.43","0.26%"
"02/17/2022","106.16","106.16","106.16","106.16","0.54%"
"02/16/2022","105.59","105.59","105.59","105.59","-0.14%"
"02/15/2022","105.73","105.73","105.73","105.73","-0.80%"
"02/14/2022","106.59","106.59","106.59","106.59","-0.30%"
"02/11/2022","106.91","106.91","106.91","106.91","1.46%"
"02/10/2022","105.37","105.37","105.37","105.37","-0.92%"
"02/09/2022","106.34","106.34","106.34","106.34","0.36%"
"02/08/2022","105.96","105.96","105.96","105.96","-0.26%"
"02/07/2022","106.24","106.24","106.24","106.24","-0.06%"
"02/04/2022","106.30","106.30","106.30","106.30","-0.74%"
"02/03/2022","107.10","107.10","107.10","107.10","-0.85%"
"02/02/2022","108.02","108.02","108.02","108.02","0.11%"
"02/01/2022","107.90","107.90","107.90","107.90","-0.55%"
"01/31/2022","108.50","108.50","108.50","108.50","0.17%"
"01/28/2022","108.31","108.31","108.31","108.31","0.57%"
"01/27/2022","107.70","107.70","107.70","107.70","0.84%"
"01/26/2022","106.80","106.80","106.80","106.80","-0.96%"
"01/25/2022","107.84","107.84","107.84","107.84","-0.01%"
"01/24/2022","107.84","107.84","107.84","107.84","0.41%"
"01/21/2022","107.40","107.40","107.40","107.40","0.15%"
"01/20/2022","107.24","107.24","107.24","107.24","0.17%"
"01/19/2022","107.06","107.06","107.06","107.06","-0.15%"
"01/18/2022","107.23","107.23","107.23","107.23","-0.74%"
"01/14/2022","108.02","108.02","108.02","108.02","-0.80%"
"01/13/2022","108.90","108.90","108.90","108.90","0.14%"
"01/12/2022","108.75","108.75","108.75","108.75","-0.77%"
"01/11/2022","109.59","109.59","109.59","109.59","0.67%"
"01/10/2022","108.87","108.87","108.87","108.87","0.06%"
"01/07/2022","108.80","108.80","108.80","108.80","-0.20%"
"01/06/2022","109.02","109.02","109.02","109.02","-0.65%"
"01/05/2022","109.73","109.73","109.73","109.73","-1.03%"
"01/04/2022","110.87","110.87","110.87","110.87","-0.58%"
